Section,Type,Label/Column Name,API Field Name
Demographic Caste Wise,Table Column,Sample Achieved,sample_achieved
Demographic Religion Wise,Table Column,PC Name,pc_name
Demographic Religion Wise,Table Column,PC Code,pc_code
Demographic Religion Wise,Table Column,Sample Achieved,sample_achieved
Demographic Religion Wise,Table Column,Religion 1 Name,religions.religion_name
Demographic Religion Wise,Table Column,Religion 1 Quota,religions.quota
Demographic Religion Wise,Table Column,Religion 1 Covered,religions.covered
Demographic Religion Wise,Table Column,Religion 1 Balance,religions.balance
Demographic Religion Wise,Table Column,Religion 2 Name,religions.religion_name
Demographic Religion Wise,Table Column,Religion 2 Quota,religions.quota
Demographic Religion Wise,Table Column,Religion 2 Covered,religions.covered
Demographic Religion Wise,Table Column,Religion 2 Balance,religions.balance
Demographic Religion Wise,Table Column,Religion 3 Name,religions.religion_name
Demographic Religion Wise,Table Column,Religion 3 Quota,religions.quota
Demographic Religion Wise,Table Column,Religion 3 Covered,religions.covered
Demographic Religion Wise,Table Column,Religion 3 Balance,religions.balance
Demographic Religion Wise,Table Column,Religion 4 Name,religions.religion_name
Demographic Religion Wise,Table Column,Religion 4 Quota,religions.quota
Demographic Religion Wise,Table Column,Religion 4 Covered,religions.covered
Demographic Religion Wise,Table Column,Religion 4 Balance,religions.balance
Demographic Religion Wise,Table Column,Religion 5 Name,religions.religion_name
Demographic Religion Wise,Table Column,Religion 5 Quota,religions.quota
Demographic Religion Wise,Table Column,Religion 5 Covered,religions.covered
Demographic Religion Wise,Table Column,Religion 5 Balance,religions.balance
Demographic Social Category Wise,Table Column,PC Name,pc_name
Demographic Social Category Wise,Table Column,PC Code,pc_code
Demographic Social Category Wise,Table Column,Sample Achieved,sample_achieved
Demographic Social Category Wise,Table Column,Social Category 1 Name,social_categories.category_name
Demographic Social Category Wise,Table Column,Social Category 1 Quota,social_categories.quota
Demographic Social Category Wise,Table Column,Social Category 1 Covered,social_categories.covered
Demographic Social Category Wise,Table Column,Social Category 1 Balance,social_categories.balance
Demographic Social Category Wise,Table Column,Social Category 2 Name,social_categories.category_name
Demographic Social Category Wise,Table Column,Social Category 2 Quota,social_categories.quota
Demographic Social Category Wise,Table Column,Social Category 2 Covered,social_categories.covered
Demographic Social Category Wise,Table Column,Social Category 2 Balance,social_categories.balance
Demographic Social Category Wise,Table Column,Social Category 3 Name,social_categories.category_name
Demographic Social Category Wise,Table Column,Social Category 3 Quota,social_categories.quota
Demographic Social Category Wise,Table Column,Social Category 3 Covered,social_categories.covered
Demographic Social Category Wise,Table Column,Social Category 3 Balance,social_categories.balance
Demographic Social Category Wise,Table Column,Social Category 4 Name,social_categories.category_name
Demographic Social Category Wise,Table Column,Social Category 4 Quota,social_categories.quota
Demographic Social Category Wise,Table Column,Social Category 4 Covered,social_categories.covered
Demographic Social Category Wise,Table Column,Social Category 4 Balance,social_categories.balance
Demographic Social Category Wise,Table Column,Social Category 5 Name,social_categories.category_name
Demographic Social Category Wise,Table Column,Social Category 5 Quota,social_categories.quota
Demographic Social Category Wise,Table Column,Social Category 5 Covered,social_categories.covered
Demographic Social Category Wise,Table Column,Social Category 5 Balance,social_categories.balance
Demographic Caste Wise,Table Column,Caste 1 Name,castes.caste_name
Demographic Caste Wise,Table Column,Caste 1 Quota,Castes.quota
Demographic Caste Wise,Table Column,Caste 1 Covered,Castes.covered
Demographic Caste Wise,Table Column,Caste 1 Balance,Castes.balance
Demographic Caste Wise,Table Column,Caste 2 Name,castes.caste_name
Demographic Caste Wise,Table Column,Caste 2 Quota,Castes.quota
Demographic Caste Wise,Table Column,Caste 2 Covered,Castes.covered
Demographic Caste Wise,Table Column,Caste 2 Balance,Castes.balance
Demographic Caste Wise,Table Column,Caste 3 Name,castes.caste_name
Demographic Caste Wise,Table Column,Caste 3 Quota,Castes.quota
Demographic Caste Wise,Table Column,Caste 3 Covered,Castes.covered
Demographic Caste Wise,Table Column,Caste 3 Balance,Castes.balance
Demographic Caste Wise,Table Column,Caste 4 Name,castes.caste_name
Demographic Caste Wise,Table Column,Caste 4 Quota,Castes.quota
Demographic Caste Wise,Table Column,Caste 4 Covered,Castes.covered
Demographic Caste Wise,Table Column,Caste 4 Balance,Castes.balance
Demographic Caste Wise,Table Column,Caste 5 Name,castes.caste_name
Demographic Caste Wise,Table Column,Caste 5 Quota,Castes.quota
Demographic Caste Wise,Table Column,Caste 5 Covered,Castes.covered
Demographic Caste Wise,Table Column,Caste 5 Balance,Castes.balance
Demographic Caste Wise,Table Column,Caste 6 Name,castes.caste_name
Demographic Caste Wise,Table Column,Caste 6 Quota,Castes.quota
Demographic Caste Wise,Table Column,Caste 6 Covered,Castes.covered
Demographic Caste Wise,Table Column,Caste 6 Balance,Castes.balance
Demographic Caste Wise,Table Column,Caste 7 Name,castes.caste_name
Demographic Caste Wise,Table Column,Caste 7 Quota,Castes.quota
Demographic Caste Wise,Table Column,Caste 7 Covered,Castes.covered
Demographic Caste Wise,Table Column,Caste 7 Balance,Castes.balance
Demographic Caste Wise,Table Column,Caste 8 Name,castes.caste_name
Demographic Caste Wise,Table Column,Caste 8 Quota,Castes.quota
Demographic Caste Wise,Table Column,Caste 8 Covered,Castes.covered
Demographic Caste Wise,Table Column,Caste 8 Balance,Castes.balance
Demographic Caste Wise,Table Column,Caste 9 Name,castes.caste_name
Demographic Caste Wise,Table Column,Caste 9 Quota,Castes.quota
Demographic Caste Wise,Table Column,Caste 9 Covered,Castes.covered
Demographic Caste Wise,Table Column,Caste 9 Balance,Castes.balance
