Old Column,New Column,Type,Difference
starttime,,,Column exists in old table but not in new
endtime,,,Column exists in old table but not in new
survey_complete_date,,,Column exists in old table but not in new
q_consent,,,Column exists in old table but not in new
q_age,,,Column exists in old table but not in new
q_locality,,,Column exists in old table but not in new
q_register_voter,,,Column exists in old table but not in new
q_gender,,,Column exists in old table but not in new
q1_1,,,Column exists in old table but not in new
q1_2,,,Column exists in old table but not in new
q1_3,,,Column exists in old table but not in new
q1_4,,,Column exists in old table but not in new
q1_5,,,Column exists in old table but not in new
q1_44,,,Column exists in old table but not in new
q1_other,,,Column exists in old table but not in new
q2,,,Column exists in old table but not in new
q2_other,,,Column exists in old table but not in new
q3,,,Column exists in old table but not in new
q3_other,,,Column exists in old table but not in new
q4,,,Column exists in old table but not in new
q7_3,,,Column exists in old table but not in new
q7_4,,,Column exists in old table but not in new
q7_5,,,Column exists in old table but not in new
q7_6,,,Column exists in old table but not in new
q7_7,,,Column exists in old table but not in new
q7_8,,,Column exists in old table but not in new
q7_10,,,Column exists in old table but not in new
q7_11,,,Column exists in old table but not in new
q7_12,,,Column exists in old table but not in new
q7_13,,,Column exists in old table but not in new
q7_55,,,Column exists in old table but not in new
q7_44,,,Column exists in old table but not in new
q7_99,,,Column exists in old table but not in new
q7_other,,,Column exists in old table but not in new
q8_3,,,Column exists in old table but not in new
q8_4,,,Column exists in old table but not in new
q8_5,,,Column exists in old table but not in new
q8_7,,,Column exists in old table but not in new
q8_9,,,Column exists in old table but not in new
q8_10,,,Column exists in old table but not in new
q8_11,,,Column exists in old table but not in new
q8_12,,,Column exists in old table but not in new
q8_13,,,Column exists in old table but not in new
q8_14,,,Column exists in old table but not in new
q8_2,,,Column exists in old table but not in new
q8_44,,,Column exists in old table but not in new
q8_99,,,Column exists in old table but not in new
q8_other,,,Column exists in old table but not in new
q9_1,,,Column exists in old table but not in new
q9_2,,,Column exists in old table but not in new
q9_3,,,Column exists in old table but not in new
q9_4,,,Column exists in old table but not in new
q9_5,,,Column exists in old table but not in new
q9_6,,,Column exists in old table but not in new
q9_7,,,Column exists in old table but not in new
q9_8,,,Column exists in old table but not in new
q9_9,,,Column exists in old table but not in new
q9_10,,,Column exists in old table but not in new
q9_11,,,Column exists in old table but not in new
q9_12,,,Column exists in old table but not in new
q9_13,,,Column exists in old table but not in new
q9_44,,,Column exists in old table but not in new
q9_99,,,Column exists in old table but not in new
q9_other,,,Column exists in old table but not in new
q6,,,Column exists in old table but not in new
q8a,,,Column exists in old table but not in new
q8b,,,Column exists in old table but not in new
q8c,,,Column exists in old table but not in new
q30a_1_1,,,Column exists in old table but not in new
q30a_1_2,,,Column exists in old table but not in new
q30a_1_3,,,Column exists in old table but not in new
q30a_1_4,,,Column exists in old table but not in new
q30a_1_5,,,Column exists in old table but not in new
q30a_1_other,,,Column exists in old table but not in new
q30a_2_1,,,Column exists in old table but not in new
q30a_2_2,,,Column exists in old table but not in new
q30a_2_3,,,Column exists in old table but not in new
q30a_2_4,,,Column exists in old table but not in new
q30a_2_5,,,Column exists in old table but not in new
q30a_2_other,,,Column exists in old table but not in new
q30a_3_1,,,Column exists in old table but not in new
q30a_3_2,,,Column exists in old table but not in new
q30a_3_3,,,Column exists in old table but not in new
q30a_3_4,,,Column exists in old table but not in new
q30a_3_5,,,Column exists in old table but not in new
q30a_3_other,,,Column exists in old table but not in new
q30a_4_1,,,Column exists in old table but not in new
q30a_4_2,,,Column exists in old table but not in new
q30a_4_3,,,Column exists in old table but not in new
q30a_4_4,,,Column exists in old table but not in new
q30a_4_5,,,Column exists in old table but not in new
q30a_4_other,,,Column exists in old table but not in new
q11_other,,,Column exists in old table but not in new
q12_other,,,Column exists in old table but not in new
q13_other,,,Column exists in old table but not in new
q13_a,,,Column exists in old table but not in new
q13_a_other,,,Column exists in old table but not in new
q14_other,,,Column exists in old table but not in new
q15_other,,,Column exists in old table but not in new
q_religion,,,Column exists in old table but not in new
q_religion_other,,,Column exists in old table but not in new
q_social_category,,,Column exists in old table but not in new
q_caste_jati,,,Column exists in old table but not in new
q_caste_jati_other,,,Column exists in old table but not in new
q_female_education,,,Column exists in old table but not in new
resp_education,,,Column exists in old table but not in new
q_occupation,,,Column exists in old table but not in new
q_future_contact,,,Column exists in old table but not in new
q_interview_status,,,Column exists in old table but not in new
cloud_api_id,,,Column exists in old table but not in new
calling_request_id,,,Column exists in old table but not in new
invalid_phone,,,Column exists in old table but not in new
invalid_phone_verify_by,,,Column exists in old table but not in new
invalid_phone_verify_date,,,Column exists in old table but not in new
reject_reason,,,Column exists in old table but not in new
reject_date,,,Column exists in old table but not in new
recomplete,,,Column exists in old table but not in new
recomplete_date,,,Column exists in old table but not in new
recomplete_by,,,Column exists in old table but not in new
pre_survey_calling_id,,,Column exists in old table but not in new
re_sent_for_calling,,,Column exists in old table but not in new
qc_teleform_user_id,,,Column exists in old table but not in new
qc,,,Column exists in old table but not in new
qc_assign_date,,,Column exists in old table but not in new
qc_q_intro,,,Column exists in old table but not in new
qc_q12,,,Column exists in old table but not in new
qc_q11,,,Column exists in old table but not in new
qc_q16,,,Column exists in old table but not in new
qc_q14,,,Column exists in old table but not in new
qc_q28,,,Column exists in old table but not in new
qc_remark,,,Column exists in old table but not in new
qc_complete_date,,,Column exists in old table but not in new
qc_status,,,Column exists in old table but not in new
re_qc_teleform_user_id,,,Column exists in old table but not in new
re_qc,,,Column exists in old table but not in new
re_qc_assign_date,,,Column exists in old table but not in new
re_qc_q_intro,,,Column exists in old table but not in new
re_qc_q12,,,Column exists in old table but not in new
re_qc_q11,,,Column exists in old table but not in new
re_qc_q16,,,Column exists in old table but not in new
re_qc_q14,,,Column exists in old table but not in new
re_qc_q28,,,Column exists in old table but not in new
re_qc_remark,,,Column exists in old table but not in new
re_qc_complete_date,,,Column exists in old table but not in new
re_qc_status,,,Column exists in old table but not in new
weight,,,Column exists in old table but not in new
non_weight,,,Column exists in old table but not in new
created_at,,,Column exists in old table but not in new
created_by,,,Column exists in old table but not in new
updated_at,,,Column exists in old table but not in new
updated_by,,,Column exists in old table but not in new
form_duration_seconds,,,Column exists in old table but not in new
language_used,,,Column exists in old table but not in new
user_timezone,,,Column exists in old table but not in new
user_localdatetime,,,Column exists in old table but not in new
final_submit,,,Column exists in old table but not in new
call_reschedule_datetime,,,Column exists in old table but not in new
